team,elo
Niue,1440.2575845209499
Mayotte,1439.6850749961284
Găgăuzia,1439.3308352445242
Palau,1435.8203781744032
Fiji,1433.407322598853
French Guiana,1431.1576592477984
Vatican City,1430.044184799415
Western Isles,1429.2002833519355
Estonia,1429.1308478274223
Azerbaijan,1427.1536202756033
Marshall Islands,1426.2678232529875
Malawi,1425.4275246700745
Saint Barthélemy,1424.414561088069
Faroe Islands,1424.1066299341232
Monaco,1422.8105627047835
Ticino,1421.6895418016459
Botswana,1418.0424943466683
Tanzania,1417.8156921501402
Ambazonia,1413.8864924868121
Raetia,1412.080747000731
Two Sicilies,1410.7976335283468
Orkney,1408.0454805593747
Western Australia,1406.8387257089548
Liberia,1406.4834292257465
Namibia,1406.38145032549
Barawa,1404.0630695477755
Western Sahara,1403.0992581101887
Cyprus,1401.396045400754
Ethiopia,1399.9349290471434
Turkmenistan,1399.6383377672635
Solomon Islands,1399.048914685775
Cuba,1397.0603770245314
Lesotho,1394.6722169200455
Vietnam Republic,1387.216949434075
Burundi,1386.5000777951147
Hong Kong,1384.615341226224
Malta,1382.8949960233408
Guinea-Bissau,1382.5912186767246
Puerto Rico,1381.6364357087361
Latvia,1372.833086517894
Yemen DPR,1369.4987666111506
Lithuania,1365.9914932083361
Saint Helena,1365.70538471173
Bermuda,1360.6051863039509
Philippines,1359.8642886202397
Central African Republic,1357.370232532272
Singapore,1352.6428844436557
Sark,1352.2261671828162
Saint Vincent and the Grenadines,1350.939466288155
Micronesia,1349.294103586302
Chagos Islands,1348.3417333995333
Saare County,1346.325169323361
Hitra,1345.607004792656
Congo,1343.849936167099
Moldova,1342.9024344456702
Yemen,1308.727758899718
Saint Pierre and Miquelon,1305.926548718516
Grenada,1303.133375397903
Eswatini,1300.84143087588
Wallis Islands and Futuna,1299.7745006693035
Darfur,1299.2715206579257
Belize,1295.8573993143905
Saint Kitts and Nevis,1291.7354714963267
Sint Maarten,1284.222521384944
India,1278.898053180193
Tibet,1276.2525730921582
South Sudan,1274.8568216492224
Samoa,1270.4535774590026
Chad,1263.1823800650259
Kiribati,1258.5571242764304
Saint Lucia,1249.1963695409886
Saint Martin,1249.1726351719492
Montserrat,1244.5067230612563
Falkland Islands,1237.694916507291
Mauritius,1237.4239002647141
Tuvalu,1231.5858984863546
Afghanistan,1226.4893776182146
Eritrea,1226.0121709471648
Aruba,1216.1692419530614
Frøya,1204.364884551321
Myanmar,1189.0391285102528
Gibraltar,1182.8269003291866
Bangladesh,1177.7957670753274
São Tomé and Príncipe,1176.55739730081
Andorra,1174.9140528610808
Antigua and Barbuda,1172.6442888499748
Cook Islands,1172.3882910975187
Dominica,1171.345497375687
Bonaire,1159.7032542946843
Barbados,1152.8256306060775
Nepal,1122.8889042188248
Cambodia,1106.8956109734343
Taiwan,1106.3890190825778
Tonga,1106.3341690230222
Alderney,1094.2091198119722
Cayman Islands,1089.856518651982
Djibouti,1073.1568983922234
Pakistan,1072.4183950089366
Somalia,1072.0431567077767
Turks and Caicos Islands,1061.9034825186106
Sri Lanka,1061.5752613692512
Liechtenstein,1053.4158622151172
Maldives,1046.2470119835846
British Virgin Islands,1030.7962672866936
United States Virgin Islands,1025.5633416432313
Seychelles,1021.4573588246956
Mongolia,1020.7394904885723
Laos,1008.1691373386931
Guam,1007.4169655520645
Northern Mariana Islands,998.3649283751039
Bahamas,987.087596194131
American Samoa,963.4188890759093
San Marino,949.2508469008761
Brunei,946.8543279339809
Anguilla,924.0832255562701
Timor-Leste,906.2128642228988
Bhutan,884.1148458810862
Macau,876.2393446160354
